Date;User;Rating;Usage;Review
13 Aug 2020;Abu Baba;3.7; Daily Commute | Tours 
5 Jun 2020;Paras Raizada;4.0; Daily Commute
16 Apr 2020;Shriniket Punde;3.3; Daily Commute | Family Car | Tours 
29 Sep 2019;Kowshick N;4.7; Daily Commute 
10 May 2020;Samskrithy;3.3; Family Car 
20 Jan 2021;Venkateshwar..;3.3; Daily Commute | Family Car 
28 Oct 2019;Gourav Rathore;2.0; Occasional Commute | Tours
9 Nov 2020;Deepu Pato;3.3; Family Car 
24 May 2020;Anand Purush..;3.7; Daily Commute | Family Car | Tours
29 Aug 2020;Sohel Khan;5.0; Daily Commute
2 Jul 2020;Partha P;3.3; Daily Commute 
1 Sep 2019;Updates Global;4.7; Daily Commute | Occasional Commute | Family Car | Tours 
6 Jun 2020;Raman Bhardwaj;4.7; Family Car 
